,key_0,YearMonth,Standard,Medium  (â‰¦20kW),Quick (>20kW),Total,Date,Vehicle Class,Fuel Type,Classified,Date.1
0,2020-03-01,202003,1264,1113,591,2968,2020-03-01,Private Car,Electric,1709,2020-03-01
1,2020-06-01,202006,1248,1262,615,3125,2020-06-01,Private Car,Electric,2187,2020-06-01
2,2020-09-01,202009,1293,1301,625,3219,2020-09-01,Private Car,Electric,3722,2020-09-01
3,2020-12-01,202012,1252,1456,643,3351,2020-12-01,Private Car,Electric,5408,2020-12-01
4,2021-03-01,202103,1403,2016,684,4103,2021-03-01,Private Car,Electric,6653,2021-03-01
5,2021-06-01,202106,1460,2200,702,4362,2021-06-01,Private Car,Electric,8810,2021-06-01
6,2021-09-01,202109,1452,2408,779,4639,2021-09-01,Private Car,Electric,11376,2021-09-01
7,2021-12-01,202112,1420,2465,809,4694,2021-12-01,Private Car,Electric,14991,2021-12-01
8,2022-03-01,202203,1424,2571,857,4852,2022-03-01,Private Car,Electric,18225,2022-03-01
9,2022-06-01,202206,1423,2746,877,5046,2022-06-01,Private Car,Electric,20317,2022-06-01
10,2022-09-01,202209,1451,2871,961,5283,2022-09-01,Private Car,Electric,26356,2022-09-01
11,2022-12-01,202212,1453,2983,998,5434,2022-12-01,Private Car,Electric,34786,2022-12-01
12,2023-03-01,202303,1453,3307,1015,5775,2023-03-01,Private Car,Electric,41171,2023-03-01
13,2023-06-01,202306,1524,3596,1022,6142,2023-06-01,Private Car,Electric,48090,2023-06-01
14,2023-09-01,202309,2043,3950,1092,7085,2023-09-01,Private Car,Electric,55368,2023-09-01
15,2023-12-01,202312,2039,4225,1151,7415,2023-12-01,Private Car,Electric,63327,2023-12-01
16,2024-03-01,202403,1997,4662,1397,8056,2024-03-01,Private Car,Electric,74834,2024-03-01
17,2024-06-01,202406,1983,5234,1511,8728,2024-06-01,Private Car,Electric,83379,2024-06-01
