YearMonth,Standard,Medium  (â‰¦20kW),Quick (>20kW),Total
202003,1264,1113,591,2968
202006,1248,1262,615,3125
202009,1293,1301,625,3219
202012,1252,1456,643,3351
202103,1403,2016,684,4103
202106,1460,2200,702,4362
202109,1452,2408,779,4639
202112,1420,2465,809,4694
202203,1424,2571,857,4852
202206,1423,2746,877,5046
202209,1451,2871,961,5283
202212,1453,2983,998,5434
202303,1453,3307,1015,5775
202306,1524,3596,1022,6142
202309,2043,3950,1092,7085
202312,2039,4225,1151,7415
202403,1997,4662,1397,8056
202406,1983,5234,1511,8728